currency,code,value,date
lira turecka,TRY,0.2365,2022-12-15
nowy izraelski szekel,ILS,1.2845,2022-12-15
peso chilijskie,CLP,0.005062,2022-12-15
peso filipińskie,PHP,0.079,2022-12-15
peso meksykańskie,MXN,0.2238,2022-12-15
rand (Republika Południowej Afryki),ZAR,0.2553,2022-12-15
real (Brazylia),BRL,0.8353,2022-12-15
ringgit (Malezja),MYR,0.9983,2022-12-15
rupia indonezyjska,IDR,0.00028238,2022-12-15
rupia indyjska,INR,0.053304,2022-12-15
won południowokoreański,KRW,0.003361,2022-12-15
yuan renminbi (Chiny),CNY,0.6322,2022-12-15
SDR (MFW),XDR,5.8505,2022-12-15
bat (Tajlandia),THB,0.1265,2022-12-16
dolar amerykański,USD,4.4227,2022-12-16
dolar australijski,AUD,2.9568,2022-12-16
dolar Hongkongu,HKD,0.5684,2022-12-16
dolar kanadyjski,CAD,3.2354,2022-12-16
dolar nowozelandzki,NZD,2.808,2022-12-16
dolar singapurski,SGD,3.2542,2022-12-16
euro,EUR,4.6934,2022-12-16
forint (Węgry),HUF,0.011554,2022-12-16
frank szwajcarski,CHF,4.7564,2022-12-16
funt szterling,GBP,5.3716,2022-12-16
hrywna (Ukraina),UAH,0.1258,2022-12-16
jen (Japonia),JPY,0.032239,2022-12-16
korona czeska,CZK,0.1935,2022-12-16
korona duńska,DKK,0.631,2022-12-16
korona islandzka,ISK,0.031144,2022-12-16
korona norweska,NOK,0.4463,2022-12-16
korona szwedzka,SEK,0.4258,2022-12-16
kuna (Chorwacja),HRK,0.6227,2022-12-16
lej rumuński,RON,0.9541,2022-12-16
lew (Bułgaria),BGN,2.3997,2022-12-16
lira turecka,TRY,0.2371,2022-12-16
nowy izraelski szekel,ILS,1.2787,2022-12-16
peso chilijskie,CLP,0.005034,2022-12-16
peso filipińskie,PHP,0.0796,2022-12-16
peso meksykańskie,MXN,0.2228,2022-12-16
rand (Republika Południowej Afryki),ZAR,0.2499,2022-12-16
real (Brazylia),BRL,0.8324,2022-12-16
ringgit (Malezja),MYR,0.9996,2022-12-16
rupia indonezyjska,IDR,0.00028355,2022-12-16
rupia indyjska,INR,0.053366,2022-12-16
won południowokoreański,KRW,0.003372,2022-12-16
yuan renminbi (Chiny),CNY,0.6341,2022-12-16
SDR (MFW),XDR,5.8786,2022-12-16
bat (Tajlandia),THB,0.1267,2022-12-19
dolar amerykański,USD,4.4153,2022-12-19
dolar australijski,AUD,2.9666,2022-12-19
dolar Hongkongu,HKD,0.5675,2022-12-19
dolar kanadyjski,CAD,3.2354,2022-12-19
dolar nowozelandzki,NZD,2.8235,2022-12-19
dolar singapurski,SGD,3.2565,2022-12-19
euro,EUR,4.6886,2022-12-19
forint (Węgry),HUF,0.011611,2022-12-19
frank szwajcarski,CHF,4.7453,2022-12-19
funt szterling,GBP,5.3926,2022-12-19
hrywna (Ukraina),UAH,0.1258,2022-12-19
jen (Japonia),JPY,0.032436,2022-12-19
korona czeska,CZK,0.1934,2022-12-19
korona duńska,DKK,0.6304,2022-12-19
korona islandzka,ISK,0.030948,2022-12-19
korona norweska,NOK,0.4476,2022-12-19
korona szwedzka,SEK,0.4266,2022-12-19
kuna (Chorwacja),HRK,0.6219,2022-12-19
lej rumuński,RON,0.9534,2022-12-19
lew (Bułgaria),BGN,2.3972,2022-12-19
lira turecka,TRY,0.2369,2022-12-19
nowy izraelski szekel,ILS,1.2838,2022-12-19
peso chilijskie,CLP,0.004981,2022-12-19
peso filipińskie,PHP,0.0797,2022-12-19
peso meksykańskie,MXN,0.2239,2022-12-19
rand (Republika Południowej Afryki),ZAR,0.2555,2022-12-19
real (Brazylia),BRL,0.8308,2022-12-19
ringgit (Malezja),MYR,0.9977,2022-12-19
rupia indonezyjska,IDR,0.00028308,2022-12-19
rupia indyjska,INR,0.053403,2022-12-19
won południowokoreański,KRW,0.003397,2022-12-19
yuan renminbi (Chiny),CNY,0.6335,2022-12-19
SDR (MFW),XDR,5.8806,2022-12-19
bat (Tajlandia),THB,0.1266,2022-12-20
dolar amerykański,USD,4.4001,2022-12-20
dolar australijski,AUD,2.9437,2022-12-20
dolar Hongkongu,HKD,0.5652,2022-12-20
dolar kanadyjski,CAD,3.2319,2022-12-20
dolar nowozelandzki,NZD,2.7977,2022-12-20
dolar singapurski,SGD,3.2589,2022-12-20
euro,EUR,4.6804,2022-12-20
forint (Węgry),HUF,0.01161,2022-12-20
frank szwajcarski,CHF,4.7524,2022-12-20
funt szterling,GBP,5.3463,2022-12-20
hrywna (Ukraina),UAH,0.1258,2022-12-20
jen (Japonia),JPY,0.03332,2022-12-20
korona czeska,CZK,0.1933,2022-12-20
korona duńska,DKK,0.6292,2022-12-20
korona islandzka,ISK,0.030894,2022-12-20
korona norweska,NOK,0.4462,2022-12-20
korona szwedzka,SEK,0.4239,2022-12-20
kuna (Chorwacja),HRK,0.6205,2022-12-20
lej rumuński,RON,0.9529,2022-12-20
lew (Bułgaria),BGN,2.393,2022-12-20
lira turecka,TRY,0.2358,2022-12-20
nowy izraelski szekel,ILS,1.2733,2022-12-20
peso chilijskie,CLP,0.004948,2022-12-20
peso filipińskie,PHP,0.0797,2022-12-20
peso meksykańskie,MXN,0.2226,2022-12-20
rand (Republika Południowej Afryki),ZAR,0.2545,2022-12-20
real (Brazylia),BRL,0.8312,2022-12-20
ringgit (Malezja),MYR,0.9925,2022-12-20
rupia indonezyjska,IDR,0.00028201,2022-12-20
rupia indyjska,INR,0.053163,2022-12-20
won południowokoreański,KRW,0.003426,2022-12-20
yuan renminbi (Chiny),CNY,0.6319,2022-12-20
SDR (MFW),XDR,5.8682,2022-12-20
bat (Tajlandia),THB,0.1265,2022-12-21
dolar amerykański,USD,4.3947,2022-12-21
dolar australijski,AUD,2.9336,2022-12-21
dolar Hongkongu,HKD,0.5639,2022-12-21
dolar kanadyjski,CAD,3.2268,2022-12-21
dolar nowozelandzki,NZD,2.7664,2022-12-21
dolar singapurski,SGD,3.2506,2022-12-21
euro,EUR,4.6648,2022-12-21
forint (Węgry),HUF,0.011586,2022-12-21
frank szwajcarski,CHF,4.7443,2022-12-21
funt szterling,GBP,5.3342,2022-12-21
hrywna (Ukraina),UAH,0.1258,2022-12-21
jen (Japonia),JPY,0.033377,2022-12-21
korona czeska,CZK,0.1927,2022-12-21
korona duńska,DKK,0.6271,2022-12-21
korona islandzka,ISK,0.030791,2022-12-21
korona norweska,NOK,0.4456,2022-12-21
korona szwedzka,SEK,0.4214,2022-12-21
kuna (Chorwacja),HRK,0.6185,2022-12-21
lej rumuński,RON,0.9511,2022-12-21
lew (Bułgaria),BGN,2.385,2022-12-21
lira turecka,TRY,0.2355,2022-12-21
nowy izraelski szekel,ILS,1.2646,2022-12-21
peso chilijskie,CLP,0.004959,2022-12-21
peso filipińskie,PHP,0.0798,2022-12-21
peso meksykańskie,MXN,0.2227,2022-12-21
rand (Republika Południowej Afryki),ZAR,0.2537,2022-12-21
real (Brazylia),BRL,0.8451,2022-12-21
ringgit (Malezja),MYR,0.9903,2022-12-21
rupia indonezyjska,IDR,0.00028193,2022-12-21
rupia indyjska,INR,0.053059,2022-12-21
won południowokoreański,KRW,0.003411,2022-12-21
yuan renminbi (Chiny),CNY,0.6302,2022-12-21
SDR (MFW),XDR,5.8567,2022-12-21
bat (Tajlandia),THB,0.1261,2022-12-22
dolar amerykański,USD,4.3726,2022-12-22
dolar australijski,AUD,2.9488,2022-12-22
dolar Hongkongu,HKD,0.5609,2022-12-22
dolar kanadyjski,CAD,3.2176,2022-12-22
dolar nowozelandzki,NZD,2.7575,2022-12-22
dolar singapurski,SGD,3.2439,2022-12-22
euro,EUR,4.6551,2022-12-22
forint (Węgry),HUF,0.011573,2022-12-22
frank szwajcarski,CHF,4.7358,2022-12-22
funt szterling,GBP,5.2905,2022-12-22
hrywna (Ukraina),UAH,0.1258,2022-12-22
jen (Japonia),JPY,0.033125,2022-12-22
korona czeska,CZK,0.1924,2022-12-22
korona duńska,DKK,0.6259,2022-12-22
korona islandzka,ISK,0.030525,2022-12-22
korona norweska,NOK,0.4483,2022-12-22
korona szwedzka,SEK,0.4225,2022-12-22
kuna (Chorwacja),HRK,0.6174,2022-12-22
lej rumuński,RON,0.9509,2022-12-22
lew (Bułgaria),BGN,2.3801,2022-12-22
lira turecka,TRY,0.2341,2022-12-22
nowy izraelski szekel,ILS,1.2613,2022-12-22
peso chilijskie,CLP,0.005019,2022-12-22
peso filipińskie,PHP,0.0792,2022-12-22
peso meksykańskie,MXN,0.2231,2022-12-22
rand (Republika Południowej Afryki),ZAR,0.2557,2022-12-22
real (Brazylia),BRL,0.8407,2022-12-22
ringgit (Malezja),MYR,0.9882,2022-12-22
rupia indonezyjska,IDR,0.00028061,2022-12-22
rupia indyjska,INR,0.052829,2022-12-22
won południowokoreański,KRW,0.003422,2022-12-22
yuan renminbi (Chiny),CNY,0.6266,2022-12-22
SDR (MFW),XDR,5.843,2022-12-22
bat (Tajlandia),THB,0.1258,2022-12-23
dolar amerykański,USD,4.37,2022-12-23
dolar australijski,AUD,2.9269,2022-12-23
dolar Hongkongu,HKD,0.5601,2022-12-23
dolar kanadyjski,CAD,3.2118,2022-12-23
dolar nowozelandzki,NZD,2.7471,2022-12-23
dolar singapurski,SGD,3.2367,2022-12-23
euro,EUR,4.6364,2022-12-23
forint (Węgry),HUF,0.011574,2022-12-23
frank szwajcarski,CHF,4.6925,2022-12-23
funt szterling,GBP,5.2722,2022-12-23
hrywna (Ukraina),UAH,0.1258,2022-12-23
jen (Japonia),JPY,0.032962,2022-12-23
korona czeska,CZK,0.1915,2022-12-23
korona duńska,DKK,0.6235,2022-12-23
korona islandzka,ISK,0.030443,2022-12-23
korona norweska,NOK,0.4433,2022-12-23
korona szwedzka,SEK,0.4177,2022-12-23
kuna (Chorwacja),HRK,0.6152,2022-12-23
lej rumuński,RON,0.9458,2022-12-23
lew (Bułgaria),BGN,2.3705,2022-12-23
lira turecka,TRY,0.2339,2022-12-23
nowy izraelski szekel,ILS,1.2517,2022-12-23
peso chilijskie,CLP,0.005015,2022-12-23
peso filipińskie,PHP,0.0792,2022-12-23
peso meksykańskie,MXN,0.2242,2022-12-23
rand (Republika Południowej Afryki),ZAR,0.2554,2022-12-23
real (Brazylia),BRL,0.8458,2022-12-23
ringgit (Malezja),MYR,0.9876,2022-12-23
rupia indonezyjska,IDR,0.00028027,2022-12-23
rupia indyjska,INR,0.052739,2022-12-23
won południowokoreański,KRW,0.003411,2022-12-23
yuan renminbi (Chiny),CNY,0.6256,2022-12-23
SDR (MFW),XDR,5.8056,2022-12-23
bat (Tajlandia),THB,0.1262,2022-12-27
dolar amerykański,USD,4.3671,2022-12-27
dolar australijski,AUD,2.9532,2022-12-27
dolar Hongkongu,HKD,0.5598,2022-12-27
dolar kanadyjski,CAD,3.2282,2022-12-27
dolar nowozelandzki,NZD,2.7561,2022-12-27
dolar singapurski,SGD,3.2464,2022-12-27
euro,EUR,4.6558,2022-12-27
forint (Węgry),HUF,0.011595,2022-12-27
frank szwajcarski,CHF,4.7035,2022-12-27
funt szterling,GBP,5.2676,2022-12-27
hrywna (Ukraina),UAH,0.1258,2022-12-27
jen (Japonia),JPY,0.032793,2022-12-27
korona czeska,CZK,0.1923,2022-12-27
korona duńska,DKK,0.6261,2022-12-27
korona islandzka,ISK,0.03057,2022-12-27
korona norweska,NOK,0.4452,2022-12-27
korona szwedzka,SEK,0.4184,2022-12-27
kuna (Chorwacja),HRK,0.6178,2022-12-27
lej rumuński,RON,0.9464,2022-12-27
lew (Bułgaria),BGN,2.3804,2022-12-27
lira turecka,TRY,0.2335,2022-12-27
nowy izraelski szekel,ILS,1.2485,2022-12-27
peso chilijskie,CLP,0.004971,2022-12-27
peso filipińskie,PHP,0.0782,2022-12-27
peso meksykańskie,MXN,0.2257,2022-12-27
rand (Republika Południowej Afryki),ZAR,0.2557,2022-12-27
real (Brazylia),BRL,0.8368,2022-12-27
ringgit (Malezja),MYR,0.9874,2022-12-27
rupia indonezyjska,IDR,0.00027883,2022-12-27
rupia indyjska,INR,0.052721,2022-12-27
won południowokoreański,KRW,0.003442,2022-12-27
yuan renminbi (Chiny),CNY,0.6274,2022-12-27
SDR (MFW),XDR,5.8333,2022-12-27
bat (Tajlandia),THB,0.127,2022-12-28
dolar amerykański,USD,4.4127,2022-12-28
dolar australijski,AUD,2.9839,2022-12-28
dolar Hongkongu,HKD,0.5663,2022-12-28
dolar kanadyjski,CAD,3.2597,2022-12-28
dolar nowozelandzki,NZD,2.7808,2022-12-28
dolar singapurski,SGD,3.2716,2022-12-28
euro,EUR,4.6938,2022-12-28
forint (Węgry),HUF,0.011649,2022-12-28
frank szwajcarski,CHF,4.7438,2022-12-28
funt szterling,GBP,5.3085,2022-12-28
hrywna (Ukraina),UAH,0.1258,2022-12-28
jen (Japonia),JPY,0.03292,2022-12-28
korona czeska,CZK,0.1937,2022-12-28
korona duńska,DKK,0.6312,2022-12-28
korona islandzka,ISK,0.03086,2022-12-28
korona norweska,NOK,0.4481,2022-12-28
korona szwedzka,SEK,0.4218,2022-12-28
kuna (Chorwacja),HRK,0.6227,2022-12-28
lej rumuński,RON,0.9502,2022-12-28
lew (Bułgaria),BGN,2.3999,2022-12-28
lira turecka,TRY,0.2358,2022-12-28
nowy izraelski szekel,ILS,1.2552,2022-12-28
peso chilijskie,CLP,0.005083,2022-12-28
peso filipińskie,PHP,0.0786,2022-12-28
peso meksykańskie,MXN,0.2272,2022-12-28
rand (Republika Południowej Afryki),ZAR,0.2571,2022-12-28
real (Brazylia),BRL,0.8336,2022-12-28
ringgit (Malezja),MYR,0.9978,2022-12-28
rupia indonezyjska,IDR,0.00028102,2022-12-28
rupia indyjska,INR,0.053249,2022-12-28
won południowokoreański,KRW,0.003477,2022-12-28
yuan renminbi (Chiny),CNY,0.6328,2022-12-28
SDR (MFW),XDR,5.8809,2022-12-28
bat (Tajlandia),THB,0.1272,2022-12-29
dolar amerykański,USD,4.4078,2022-12-29
dolar australijski,AUD,2.9666,2022-12-29
dolar Hongkongu,HKD,0.5654,2022-12-29
dolar kanadyjski,CAD,3.2441,2022-12-29
dolar nowozelandzki,NZD,2.7824,2022-12-29
dolar singapurski,SGD,3.2697,2022-12-29
euro,EUR,4.6969,2022-12-29
forint (Węgry),HUF,0.011667,2022-12-29
frank szwajcarski,CHF,4.7725,2022-12-29
funt szterling,GBP,5.3132,2022-12-29
hrywna (Ukraina),UAH,0.1258,2022-12-29
jen (Japonia),JPY,0.032986,2022-12-29
korona czeska,CZK,0.1942,2022-12-29
korona duńska,DKK,0.6316,2022-12-29
korona islandzka,ISK,0.030921,2022-12-29
korona norweska,NOK,0.4457,2022-12-29
korona szwedzka,SEK,0.4216,2022-12-29
kuna (Chorwacja),HRK,0.6233,2022-12-29
lej rumuński,RON,0.9498,2022-12-29
lew (Bułgaria),BGN,2.4015,2022-12-29
lira turecka,TRY,0.2355,2022-12-29
nowy izraelski szekel,ILS,1.2517,2022-12-29
peso chilijskie,CLP,0.005112,2022-12-29
peso filipińskie,PHP,0.0789,2022-12-29
peso meksykańskie,MXN,0.2276,2022-12-29
rand (Republika Południowej Afryki),ZAR,0.259,2022-12-29
real (Brazylia),BRL,0.8367,2022-12-29
ringgit (Malezja),MYR,0.9964,2022-12-29
rupia indonezyjska,IDR,0.00028151,2022-12-29
rupia indyjska,INR,0.053222,2022-12-29
won południowokoreański,KRW,0.003481,2022-12-29
yuan renminbi (Chiny),CNY,0.6331,2022-12-29
SDR (MFW),XDR,5.8848,2022-12-29
bat (Tajlandia),THB,0.1271,2022-12-30
dolar amerykański,USD,4.4018,2022-12-30
dolar australijski,AUD,2.989,2022-12-30
dolar Hongkongu,HKD,0.5643,2022-12-30
dolar kanadyjski,CAD,3.2486,2022-12-30
dolar nowozelandzki,NZD,2.7884,2022-12-30
dolar singapurski,SGD,3.2802,2022-12-30
euro,EUR,4.6899,2022-12-30
forint (Węgry),HUF,0.011718,2022-12-30
frank szwajcarski,CHF,4.7679,2022-12-30
funt szterling,GBP,5.2957,2022-12-30
hrywna (Ukraina),UAH,0.1258,2022-12-30
jen (Japonia),JPY,0.033312,2022-12-30
korona czeska,CZK,0.1942,2022-12-30
korona duńska,DKK,0.6307,2022-12-30
korona islandzka,ISK,0.030997,2022-12-30
korona norweska,NOK,0.4461,2022-12-30
korona szwedzka,SEK,0.4213,2022-12-30
kuna (Chorwacja),HRK,0.6224,2022-12-30
lej rumuński,RON,0.9475,2022-12-30
lew (Bułgaria),BGN,2.3979,2022-12-30
lira turecka,TRY,0.2349,2022-12-30
nowy izraelski szekel,ILS,1.2497,2022-12-30
peso chilijskie,CLP,0.005139,2022-12-30
peso filipińskie,PHP,0.0792,2022-12-30
peso meksykańskie,MXN,0.2256,2022-12-30
rand (Republika Południowej Afryki),ZAR,0.2593,2022-12-30
real (Brazylia),BRL,0.8326,2022-12-30
ringgit (Malezja),MYR,0.9993,2022-12-30
rupia indonezyjska,IDR,0.00028276,2022-12-30
rupia indyjska,INR,0.053198,2022-12-30
won południowokoreański,KRW,0.003497,2022-12-30
yuan renminbi (Chiny),CNY,0.6348,2022-12-30
SDR (MFW),XDR,5.876,2022-12-30
bat (Tajlandia),THB,0.1267,2023-01-02
dolar amerykański,USD,4.3811,2023-01-02
dolar australijski,AUD,2.9767,2023-01-02
dolar Hongkongu,HKD,0.5615,2023-01-02
dolar kanadyjski,CAD,3.2306,2023-01-02
dolar nowozelandzki,NZD,2.7713,2023-01-02
dolar singapurski,SGD,3.2665,2023-01-02
euro,EUR,4.6784,2023-01-02
forint (Węgry),HUF,0.011676,2023-01-02
frank szwajcarski,CHF,4.7379,2023-01-02
funt szterling,GBP,5.2768,2023-01-02
hrywna (Ukraina),UAH,0.1258,2023-01-02
jen (Japonia),JPY,0.033469,2023-01-02
korona czeska,CZK,0.1936,2023-01-02
korona duńska,DKK,0.629,2023-01-02
korona islandzka,ISK,0.030881,2023-01-02
korona norweska,NOK,0.4448,2023-01-02
korona szwedzka,SEK,0.4187,2023-01-02
lej rumuński,RON,0.9463,2023-01-02
lew (Bułgaria),BGN,2.392,2023-01-02
lira turecka,TRY,0.234,2023-01-02
nowy izraelski szekel,ILS,1.2441,2023-01-02
peso chilijskie,CLP,0.005165,2023-01-02
peso filipińskie,PHP,0.0785,2023-01-02
peso meksykańskie,MXN,0.2246,2023-01-02
rand (Republika Południowej Afryki),ZAR,0.2578,2023-01-02
real (Brazylia),BRL,0.8287,2023-01-02
ringgit (Malezja),MYR,0.9946,2023-01-02
rupia indonezyjska,IDR,0.00028134,2023-01-02
rupia indyjska,INR,0.052945,2023-01-02
won południowokoreański,KRW,0.003447,2023-01-02
yuan renminbi (Chiny),CNY,0.6355,2023-01-02
SDR (MFW),XDR,5.8589,2023-01-02
bat (Tajlandia),THB,0.129,2023-01-03
dolar amerykański,USD,4.4373,2023-01-03
dolar australijski,AUD,2.9825,2023-01-03
dolar Hongkongu,HKD,0.5679,2023-01-03
dolar kanadyjski,CAD,3.2593,2023-01-03
dolar nowozelandzki,NZD,2.7722,2023-01-03
dolar singapurski,SGD,3.3018,2023-01-03
euro,EUR,4.68,2023-01-03
forint (Węgry),HUF,0.011619,2023-01-03
frank szwajcarski,CHF,4.7342,2023-01-03
funt szterling,GBP,5.2911,2023-01-03
hrywna (Ukraina),UAH,0.1258,2023-01-03
jen (Japonia),JPY,0.03402,2023-01-03
korona czeska,CZK,0.1939,2023-01-03
korona duńska,DKK,0.6293,2023-01-03
korona islandzka,ISK,0.03085,2023-01-03
korona norweska,NOK,0.4467,2023-01-03
korona szwedzka,SEK,0.4208,2023-01-03
lej rumuński,RON,0.9489,2023-01-03
lew (Bułgaria),BGN,2.3928,2023-01-03
lira turecka,TRY,0.2369,2023-01-03
nowy izraelski szekel,ILS,1.2555,2023-01-03
peso chilijskie,CLP,0.005231,2023-01-03
peso filipińskie,PHP,0.0795,2023-01-03
peso meksykańskie,MXN,0.228,2023-01-03
rand (Republika Południowej Afryki),ZAR,0.2601,2023-01-03
real (Brazylia),BRL,0.8273,2023-01-03
ringgit (Malezja),MYR,1.0071,2023-01-03
rupia indonezyjska,IDR,0.00028449,2023-01-03
rupia indyjska,INR,0.053534,2023-01-03
won południowokoreański,KRW,0.003475,2023-01-03
yuan renminbi (Chiny),CNY,0.6428,2023-01-03
SDR (MFW),XDR,5.8609,2023-01-03
bat (Tajlandia),THB,0.1292,2023-01-04
dolar amerykański,USD,4.3998,2023-01-04
dolar australijski,AUD,3.0231,2023-01-04
dolar Hongkongu,HKD,0.5628,2023-01-04
dolar kanadyjski,CAD,3.2457,2023-01-04
dolar nowozelandzki,NZD,2.7841,2023-01-04
dolar singapurski,SGD,3.2856,2023-01-04
euro,EUR,4.6688,2023-01-04
forint (Węgry),HUF,0.011752,2023-01-04
frank szwajcarski,CHF,4.7454,2023-01-04
funt szterling,GBP,5.3064,2023-01-04
hrywna (Ukraina),UAH,0.1258,2023-01-04
jen (Japonia),JPY,0.033735,2023-01-04
korona czeska,CZK,0.1941,2023-01-04
korona duńska,DKK,0.6277,2023-01-04
korona islandzka,ISK,0.030777,2023-01-04
korona norweska,NOK,0.4367,2023-01-04
korona szwedzka,SEK,0.4175,2023-01-04
lej rumuński,RON,0.9471,2023-01-04
lew (Bułgaria),BGN,2.3871,2023-01-04
lira turecka,TRY,0.2348,2023-01-04
nowy izraelski szekel,ILS,1.2495,2023-01-04
peso chilijskie,CLP,0.005099,2023-01-04
peso filipińskie,PHP,0.0788,2023-01-04
peso meksykańskie,MXN,0.2276,2023-01-04
rand (Republika Południowej Afryki),ZAR,0.2618,2023-01-04
real (Brazylia),BRL,0.8029,2023-01-04
ringgit (Malezja),MYR,0.9998,2023-01-04
rupia indonezyjska,IDR,0.00028226,2023-01-04
rupia indyjska,INR,0.053141,2023-01-04
won południowokoreański,KRW,0.00346,2023-01-04
yuan renminbi (Chiny),CNY,0.6396,2023-01-04
SDR (MFW),XDR,5.8875,2023-01-04
bat (Tajlandia),THB,0.1295,2023-01-05
dolar amerykański,USD,4.397,2023-01-05
dolar australijski,AUD,3.0008,2023-01-05
dolar Hongkongu,HKD,0.5629,2023-01-05
dolar kanadyjski,CAD,3.2555,2023-01-05
dolar nowozelandzki,NZD,2.7613,2023-01-05
dolar singapurski,SGD,3.2831,2023-01-05
euro,EUR,4.6709,2023-01-05
forint (Węgry),HUF,0.011809,2023-01-05
frank szwajcarski,CHF,4.7437,2023-01-05
funt szterling,GBP,5.2892,2023-01-05
hrywna (Ukraina),UAH,0.1258,2023-01-05
jen (Japonia),JPY,0.033172,2023-01-05
korona czeska,CZK,0.1946,2023-01-05
korona duńska,DKK,0.628,2023-01-05
korona islandzka,ISK,0.03079,2023-01-05
korona norweska,NOK,0.437,2023-01-05
korona szwedzka,SEK,0.4182,2023-01-05
lej rumuński,RON,0.948,2023-01-05
lew (Bułgaria),BGN,2.3882,2023-01-05
lira turecka,TRY,0.2344,2023-01-05
nowy izraelski szekel,ILS,1.2476,2023-01-05
peso chilijskie,CLP,0.00514,2023-01-05
peso filipińskie,PHP,0.0788,2023-01-05
peso meksykańskie,MXN,0.2273,2023-01-05
rand (Republika Południowej Afryki),ZAR,0.259,2023-01-05
real (Brazylia),BRL,0.8095,2023-01-05
ringgit (Malezja),MYR,1.002,2023-01-05
rupia indonezyjska,IDR,0.00028172,2023-01-05
rupia indyjska,INR,0.053266,2023-01-05
won południowokoreański,KRW,0.003463,2023-01-05
yuan renminbi (Chiny),CNY,0.6397,2023-01-05
SDR (MFW),XDR,5.8821,2023-01-05
bat (Tajlandia),THB,0.1314,2023-01-09
dolar amerykański,USD,4.401,2023-01-09
dolar australijski,AUD,3.0479,2023-01-09
dolar Hongkongu,HKD,0.5638,2023-01-09
dolar kanadyjski,CAD,3.2863,2023-01-09
dolar nowozelandzki,NZD,2.8127,2023-01-09
dolar singapurski,SGD,3.3019,2023-01-09
euro,EUR,4.697,2023-01-09
forint (Węgry),HUF,0.011816,2023-01-09
frank szwajcarski,CHF,4.7606,2023-01-09
funt szterling,GBP,5.3515,2023-01-09
hrywna (Ukraina),UAH,0.1258,2023-01-09
jen (Japonia),JPY,0.03323,2023-01-09
korona czeska,CZK,0.1957,2023-01-09
korona duńska,DKK,0.6315,2023-01-09
korona islandzka,ISK,0.030719,2023-01-09
korona norweska,NOK,0.4429,2023-01-09
korona szwedzka,SEK,0.42,2023-01-09
lej rumuński,RON,0.9538,2023-01-09
lew (Bułgaria),BGN,2.4015,2023-01-09
lira turecka,TRY,0.2344,2023-01-09
nowy izraelski szekel,ILS,1.2539,2023-01-09
peso chilijskie,CLP,0.005231,2023-01-09
peso filipińskie,PHP,0.0799,2023-01-09
peso meksykańskie,MXN,0.23,2023-01-09
rand (Republika Południowej Afryki),ZAR,0.2581,2023-01-09
real (Brazylia),BRL,0.8422,2023-01-09
ringgit (Malezja),MYR,1.0059,2023-01-09
rupia indonezyjska,IDR,0.00028272,2023-01-09
rupia indyjska,INR,0.053441,2023-01-09
won południowokoreański,KRW,0.003534,2023-01-09
yuan renminbi (Chiny),CNY,0.649,2023-01-09
SDR (MFW),XDR,5.9329,2023-01-09
bat (Tajlandia),THB,0.1304,2023-01-10
dolar amerykański,USD,4.372,2023-01-10
dolar australijski,AUD,3.0165,2023-01-10
dolar Hongkongu,HKD,0.56,2023-01-10
dolar kanadyjski,CAD,3.2668,2023-01-10
dolar nowozelandzki,NZD,2.7901,2023-01-10
dolar singapurski,SGD,3.286,2023-01-10
euro,EUR,4.6981,2023-01-10
forint (Węgry),HUF,0.011795,2023-01-10
frank szwajcarski,CHF,4.7525,2023-01-10
funt szterling,GBP,5.3266,2023-01-10
hrywna (Ukraina),UAH,0.1258,2023-01-10
jen (Japonia),JPY,0.033165,2023-01-10
korona czeska,CZK,0.1958,2023-01-10
korona duńska,DKK,0.6317,2023-01-10
korona islandzka,ISK,0.030369,2023-01-10
korona norweska,NOK,0.4401,2023-01-10
korona szwedzka,SEK,0.4203,2023-01-10
lej rumuński,RON,0.9539,2023-01-10
lew (Bułgaria),BGN,2.4021,2023-01-10
lira turecka,TRY,0.2328,2023-01-10
nowy izraelski szekel,ILS,1.2603,2023-01-10
peso chilijskie,CLP,0.005232,2023-01-10
peso filipińskie,PHP,0.0798,2023-01-10
peso meksykańskie,MXN,0.2289,2023-01-10
rand (Republika Południowej Afryki),ZAR,0.2568,2023-01-10
real (Brazylia),BRL,0.8319,2023-01-10
ringgit (Malezja),MYR,0.9998,2023-01-10
rupia indonezyjska,IDR,0.00028075,2023-01-10
rupia indyjska,INR,0.053471,2023-01-10
won południowokoreański,KRW,0.003513,2023-01-10
yuan renminbi (Chiny),CNY,0.6453,2023-01-10
SDR (MFW),XDR,5.8816,2023-01-10
bat (Tajlandia),THB,0.1308,2023-01-11
dolar amerykański,USD,4.3639,2023-01-11
dolar australijski,AUD,3.0161,2023-01-11
dolar Hongkongu,HKD,0.5585,2023-01-11
dolar kanadyjski,CAD,3.251,2023-01-11
dolar nowozelandzki,NZD,2.7794,2023-01-11
dolar singapurski,SGD,3.2772,2023-01-11
euro,EUR,4.6871,2023-01-11
forint (Węgry),HUF,0.011715,2023-01-11
frank szwajcarski,CHF,4.7266,2023-01-11
funt szterling,GBP,5.2938,2023-01-11
hrywna (Ukraina),UAH,0.1258,2023-01-11
jen (Japonia),JPY,0.032935,2023-01-11
korona czeska,CZK,0.1951,2023-01-11
korona duńska,DKK,0.6302,2023-01-11
korona islandzka,ISK,0.030298,2023-01-11
korona norweska,NOK,0.4371,2023-01-11
korona szwedzka,SEK,0.4174,2023-01-11
lej rumuński,RON,0.9502,2023-01-11
lew (Bułgaria),BGN,2.3965,2023-01-11
lira turecka,TRY,0.2324,2023-01-11
