currency,code,value,date
bat (Tajlandia),THB,0.1254,2022-11-07
dolar amerykański,USD,4.6926,2022-11-07
dolar australijski,AUD,3.0326,2022-11-07
dolar Hongkongu,HKD,0.5978,2022-11-07
dolar kanadyjski,CAD,3.4788,2022-11-07
dolar nowozelandzki,NZD,2.7767,2022-11-07
dolar singapurski,SGD,3.3402,2022-11-07
euro,EUR,4.6858,2022-11-07
forint (Węgry),HUF,0.011664,2022-11-07
frank szwajcarski,CHF,4.731,2022-11-07
funt szterling,GBP,5.3687,2022-11-07
hrywna (Ukraina),UAH,0.1258,2022-11-07
jen (Japonia),JPY,0.031985,2022-11-07
korona czeska,CZK,0.1923,2022-11-07
korona duńska,DKK,0.6297,2022-11-07
korona islandzka,ISK,0.032205,2022-11-07
korona norweska,NOK,0.4577,2022-11-07
korona szwedzka,SEK,0.4332,2022-11-07
kuna (Chorwacja),HRK,0.6217,2022-11-07
lej rumuński,RON,0.959,2022-11-07
lew (Bułgaria),BGN,2.3958,2022-11-07
lira turecka,TRY,0.2523,2022-11-07
nowy izraelski szekel,ILS,1.3246,2022-11-07
peso chilijskie,CLP,0.005063,2022-11-07
peso filipińskie,PHP,0.0803,2022-11-07
peso meksykańskie,MXN,0.2407,2022-11-07
rand (Republika Południowej Afryki),ZAR,0.2626,2022-11-07
real (Brazylia),BRL,0.9279,2022-11-07
ringgit (Malezja),MYR,0.9901,2022-11-07
rupia indonezyjska,IDR,0.00029875,2022-11-07
rupia indyjska,INR,0.057272,2022-11-07
won południowokoreański,KRW,0.003366,2022-11-07
yuan renminbi (Chiny),CNY,0.6492,2022-11-07
SDR (MFW),XDR,6.0677,2022-11-07
bat (Tajlandia),THB,0.1258,2022-11-08
dolar amerykański,USD,4.6893,2022-11-08
dolar australijski,AUD,3.0391,2022-11-08
dolar Hongkongu,HKD,0.5974,2022-11-08
dolar kanadyjski,CAD,3.4744,2022-11-08
dolar nowozelandzki,NZD,2.7839,2022-11-08
dolar singapurski,SGD,3.3431,2022-11-08
euro,EUR,4.6912,2022-11-08
forint (Węgry),HUF,0.011697,2022-11-08
frank szwajcarski,CHF,4.7417,2022-11-08
funt szterling,GBP,5.3894,2022-11-08
hrywna (Ukraina),UAH,0.1258,2022-11-08
jen (Japonia),JPY,0.032072,2022-11-08
korona czeska,CZK,0.193,2022-11-08
korona duńska,DKK,0.6306,2022-11-08
korona islandzka,ISK,0.032066,2022-11-08
korona norweska,NOK,0.456,2022-11-08
korona szwedzka,SEK,0.4328,2022-11-08
kuna (Chorwacja),HRK,0.6222,2022-11-08
lej rumuński,RON,0.9594,2022-11-08
lew (Bułgaria),BGN,2.3985,2022-11-08
lira turecka,TRY,0.252,2022-11-08
nowy izraelski szekel,ILS,1.3276,2022-11-08
peso chilijskie,CLP,0.005115,2022-11-08
peso filipińskie,PHP,0.0806,2022-11-08
peso meksykańskie,MXN,0.2414,2022-11-08
rand (Republika Południowej Afryki),ZAR,0.2638,2022-11-08
real (Brazylia),BRL,0.9093,2022-11-08
ringgit (Malezja),MYR,0.99,2022-11-08
rupia indonezyjska,IDR,0.00029873,2022-11-08
rupia indyjska,INR,0.05747,2022-11-08
won południowokoreański,KRW,0.003403,2022-11-08
yuan renminbi (Chiny),CNY,0.6461,2022-11-08
SDR (MFW),XDR,6.0444,2022-11-08
bat (Tajlandia),THB,0.1271,2022-11-09
dolar amerykański,USD,4.6817,2022-11-09
dolar australijski,AUD,3.0332,2022-11-09
dolar Hongkongu,HKD,0.5965,2022-11-09
dolar kanadyjski,CAD,3.4815,2022-11-09
dolar nowozelandzki,NZD,2.7657,2022-11-09
dolar singapurski,SGD,3.3476,2022-11-09
euro,EUR,4.7037,2022-11-09
forint (Węgry),HUF,0.011611,2022-11-09
frank szwajcarski,CHF,4.7467,2022-11-09
funt szterling,GBP,5.361,2022-11-09
hrywna (Ukraina),UAH,0.1258,2022-11-09
jen (Japonia),JPY,0.032116,2022-11-09
korona czeska,CZK,0.1932,2022-11-09
korona duńska,DKK,0.6324,2022-11-09
korona islandzka,ISK,0.032107,2022-11-09
korona norweska,NOK,0.4551,2022-11-09
korona szwedzka,SEK,0.434,2022-11-09
kuna (Chorwacja),HRK,0.6239,2022-11-09
lej rumuński,RON,0.9591,2022-11-09
lew (Bułgaria),BGN,2.4049,2022-11-09
lira turecka,TRY,0.2517,2022-11-09
nowy izraelski szekel,ILS,1.3194,2022-11-09
peso chilijskie,CLP,0.005162,2022-11-09
peso filipińskie,PHP,0.0808,2022-11-09
peso meksykańskie,MXN,0.2395,2022-11-09
rand (Republika Południowej Afryki),ZAR,0.2635,2022-11-09
real (Brazylia),BRL,0.9101,2022-11-09
ringgit (Malezja),MYR,0.9979,2022-11-09
rupia indonezyjska,IDR,0.00029897,2022-11-09
rupia indyjska,INR,0.057488,2022-11-09
won południowokoreański,KRW,0.003427,2022-11-09
yuan renminbi (Chiny),CNY,0.6464,2022-11-09
SDR (MFW),XDR,6.061,2022-11-09
bat (Tajlandia),THB,0.1283,2022-11-10
dolar amerykański,USD,4.7328,2022-11-10
dolar australijski,AUD,3.031,2022-11-10
dolar Hongkongu,HKD,0.603,2022-11-10
dolar kanadyjski,CAD,3.4955,2022-11-10
dolar nowozelandzki,NZD,2.773,2022-11-10
dolar singapurski,SGD,3.3737,2022-11-10
euro,EUR,4.7146,2022-11-10
forint (Węgry),HUF,0.01173,2022-11-10
frank szwajcarski,CHF,4.7905,2022-11-10
funt szterling,GBP,5.3795,2022-11-10
hrywna (Ukraina),UAH,0.1258,2022-11-10
jen (Japonia),JPY,0.032323,2022-11-10
korona czeska,CZK,0.1935,2022-11-10
korona duńska,DKK,0.6339,2022-11-10
korona islandzka,ISK,0.032094,2022-11-10
korona norweska,NOK,0.4535,2022-11-10
korona szwedzka,SEK,0.4333,2022-11-10
kuna (Chorwacja),HRK,0.6253,2022-11-10
lej rumuński,RON,0.9635,2022-11-10
lew (Bułgaria),BGN,2.4105,2022-11-10
lira turecka,TRY,0.2546,2022-11-10
nowy izraelski szekel,ILS,1.3291,2022-11-10
peso chilijskie,CLP,0.005218,2022-11-10
peso filipińskie,PHP,0.0815,2022-11-10
peso meksykańskie,MXN,0.2419,2022-11-10
rand (Republika Południowej Afryki),ZAR,0.2658,2022-11-10
real (Brazylia),BRL,0.9125,2022-11-10
ringgit (Malezja),MYR,1.0069,2022-11-10
rupia indonezyjska,IDR,0.00030164,2022-11-10
rupia indyjska,INR,0.057847,2022-11-10
won południowokoreański,KRW,0.003431,2022-11-10
yuan renminbi (Chiny),CNY,0.6528,2022-11-10
SDR (MFW),XDR,6.0592,2022-11-10
bat (Tajlandia),THB,0.1264,2022-11-14
dolar amerykański,USD,4.5383,2022-11-14
dolar australijski,AUD,3.031,2022-11-14
dolar Hongkongu,HKD,0.579,2022-11-14
dolar kanadyjski,CAD,3.4162,2022-11-14
dolar nowozelandzki,NZD,2.7601,2022-11-14
dolar singapurski,SGD,3.3,2022-11-14
euro,EUR,4.6794,2022-11-14
forint (Węgry),HUF,0.011523,2022-11-14
frank szwajcarski,CHF,4.7977,2022-11-14
funt szterling,GBP,5.3546,2022-11-14
hrywna (Ukraina),UAH,0.1258,2022-11-14
jen (Japonia),JPY,0.032321,2022-11-14
korona czeska,CZK,0.1928,2022-11-14
korona duńska,DKK,0.6291,2022-11-14
korona islandzka,ISK,0.031217,2022-11-14
korona norweska,NOK,0.4534,2022-11-14
korona szwedzka,SEK,0.4354,2022-11-14
kuna (Chorwacja),HRK,0.6202,2022-11-14
lej rumuński,RON,0.9552,2022-11-14
lew (Bułgaria),BGN,2.3925,2022-11-14
lira turecka,TRY,0.2439,2022-11-14
nowy izraelski szekel,ILS,1.3234,2022-11-14
peso chilijskie,CLP,0.005093,2022-11-14
peso filipińskie,PHP,0.0794,2022-11-14
peso meksykańskie,MXN,0.2319,2022-11-14
rand (Republika Południowej Afryki),ZAR,0.2619,2022-11-14
real (Brazylia),BRL,0.852,2022-11-14
ringgit (Malezja),MYR,0.9872,2022-11-14
rupia indonezyjska,IDR,0.0002924,2022-11-14
rupia indyjska,INR,0.055836,2022-11-14
won południowokoreański,KRW,0.003427,2022-11-14
yuan renminbi (Chiny),CNY,0.6432,2022-11-14
SDR (MFW),XDR,5.9428,2022-11-14
bat (Tajlandia),THB,0.127,2022-11-15
dolar amerykański,USD,4.5143,2022-11-15
dolar australijski,AUD,3.0546,2022-11-15
dolar Hongkongu,HKD,0.5775,2022-11-15
dolar kanadyjski,CAD,3.4004,2022-11-15
dolar nowozelandzki,NZD,2.7775,2022-11-15
dolar singapurski,SGD,3.3032,2022-11-15
