iloœc sprawdzanych dni: 27
iloœæ raportów NBP z tych dni (tylko dni pracuj¹ce): 19

Exchange rates: A, 001/A/NBP/2023, 2023-01-02
    currency:                            code:        value:
32  yuan renminbi (Chiny)                CNY      0.6453
33  SDR (MFW)                            XDR      5.8816
iloœæ walut: 33

Exchange rates: A, 007/A/NBP/2023, 2023-01-11
    currency:                            code:        value:
--  -----------------------------------  -------  ----------
 1  bat (Tajlandia)                      THB      0.1308
 2  dolar amerykañski                    USD      4.3639
 3  dolar australijski                   AUD      3.0161
 4  dolar Hongkongu                      HKD      0.5585
 5  dolar kanadyjski                     CAD      3.251
 6  dolar nowozelandzki                  NZD      2.7794
 7  dolar singapurski                    SGD      3.2772
 8  euro                                 EUR      4.6871
 9  forint (Wêgry)                       HUF      0.011715
10  frank szwajcarski                    CHF      4.7266
11  funt szterling                       GBP      5.2938
12  hrywna (Ukraina)                     UAH      0.1258
13  jen (Japonia)                        JPY      0.032935
14  korona czeska                        CZK      0.1951
15  korona duñska                        DKK      0.6302
16  korona islandzka                     ISK      0.030298
17  korona norweska                      NOK      0.4371
18  korona szwedzka                      SEK      0.4174
19  lej rumuñski                         RON      0.9502
20  lew (Bu³garia)                       BGN      2.3965
21  lira turecka                         TRY      0.2324
22  nowy izraelski szekel                ILS      1.2617
23  peso chilijskie                      CLP      0.005277
24  peso filipiñskie                     PHP      0.0795
25  peso meksykañskie                    MXN      0.2289
26  rand (Republika Po³udniowej Afryki)  ZAR      0.2567
27  real (Brazylia)                      BRL      0.8392
28  ringgit (Malezja)                    MYR      0.9984
29  rupia indonezyjska                   IDR      0.00028186
30  rupia indyjska                       INR      0.053471
31  won po³udniowokoreañski              KRW      0.003501
32  yuan renminbi (Chiny)                CNY      0.6445
33  SDR (MFW)                            XDR      5.8634
iloœæ walut: 33

Exchange rates: A, 008/A/NBP/2023, 2023-01-12
    currency:                            code:        value:
--  -----------------------------------  -------  ----------
 1  bat (Tajlandia)                      THB      0.1306
 2  dolar amerykañski                    USD      4.3556
 3  dolar australijski                   AUD      3.0108
 4  dolar Hongkongu                      HKD      0.5578
 5  dolar kanadyjski                     CAD      3.2445
 6  dolar nowozelandzki                  NZD      2.7707
 7  dolar singapurski                    SGD      3.276
 8  euro                                 EUR      4.6888
 9  forint (Wêgry)                       HUF      0.011744
10  frank szwajcarski                    CHF      4.6773
11  funt szterling                       GBP      5.3035
12  hrywna (Ukraina)                     UAH      0.1258
13  jen (Japonia)                        JPY      0.033257
14  korona czeska                        CZK      0.1951
15  korona duñska                        DKK      0.6304
16  korona islandzka                     ISK      0.030388
17  korona norweska                      NOK      0.4355
18  korona szwedzka                      SEK      0.4151
19  lej rumuñski                         RON      0.9498
20  lew (Bu³garia)                       BGN      2.3973
21  lira turecka                         TRY      0.2319
22  nowy izraelski szekel                ILS      1.2644
23  peso chilijskie                      CLP      0.005288
24  peso filipiñskie                     PHP      0.0788
25  peso meksykañskie                    MXN      0.2305
26  rand (Republika Po³udniowej Afryki)  ZAR      0.2584
27  real (Brazylia)                      BRL      0.8441
28  ringgit (Malezja)                    MYR      0.9992
29  rupia indonezyjska                   IDR      0.00028398
30  rupia indyjska                       INR      0.0534
31  won po³udniowokoreañski              KRW      0.003497
32  yuan renminbi (Chiny)                CNY      0.646
33  SDR (MFW)                            XDR      5.8526
iloœæ walut: 33

Exchange rates: A, 009/A/NBP/2023, 2023-01-13
    currency:                            code:       value:
--  -----------------------------------  -------  ---------
 1  bat (Tajlandia)                      THB      0.1312
 2  dolar amerykañski                    USD      4.3272
